"Accession_ID","Protein_Coverage","Number_of_Unique_Peptides","Number_of_Peptides","M197vsM398","M197vsM180","M197vsM194","M202vsM194","M418vsM194","M202vsM180","M202vsM398","M418vsM180","M418vsM398","Number_of_ratios","Ratio_mean","Ratio_SEM","pvalue","FDR"
"861","P11117",9.22,4,4,0.976,1.898,1.323,1.163,1.106,1.525,0.848,1.364,0.808,9,1.22,0.12,0.302,0.482
"862","P11142",54.49,21,37,1.063,1.065,1.095,1.027,1.118,0.997,1.02,1.026,1.079,9,1.05,0.01,0,0.009
"863","P11166",8.54,4,4,0.824,0.969,0.909,0.757,0.612,0.803,0.698,0.678,0.581,9,0.76,0.04,0.001,0.013
"864","P11169",5.44,3,3,0.827,0.959,0.664,0.853,0.53,1.217,1.048,0.752,0.65,9,0.83,0.07,0.005,0.038
"865","P11171",4.51,2,3,0,0,0,1.21,1.623,0,0,0,0,2,0,0,0,0
"866","P11172",18.13,9,9,1.017,0.843,0.669,0.674,0.811,0.749,1.12,0.809,1.227,9,0.88,0.07,0.246,0.422
"867","P11177",32.31,9,9,0.699,0.916,0.94,0.862,0.94,0.831,0.649,0.864,0.661,9,0.82,0.04,0.002,0.023
"868","P11182",15.15,6,6,0.749,0.979,1.13,1.019,1.049,0.916,0.669,0.856,0.649,9,0.89,0.06,0.052,0.164
"869","P11216",16.61,9,13,0.802,0.609,0.455,0.624,0.439,0.799,1.126,0.626,0.781,9,0.7,0.07,0.004,0.033
"870","P11217",17.7,10,14,0.979,1.271,1.797,2.475,2.468,1.469,1.34,1.627,1.288,9,1.63,0.18,0.004,0.031
"871","P11233",23.3,3,4,0.772,0.814,0.694,0.754,0.954,0.888,0.746,1.012,0.838,9,0.83,0.03,0.002,0.019
"872","P11234",16.99,3,4,1.427,1.925,0.996,0.856,0.888,1.565,1.153,1.445,1.223,9,1.28,0.12,0.069,0.194
"873","P11279",6.71,3,3,1.204,1.741,1.467,1.144,1.022,1.324,0.996,1.141,0.893,9,1.21,0.09,0.1,0.241
"874","P11310",13.78,6,6,2.999,3.525,2.572,1.467,1.492,2.06,1.742,1.871,1.708,9,2.16,0.24,0,0.006
"875","P11387",25.36,20,21,1.307,1.235,1.151,0.959,0.838,1.017,1.008,0.924,0.902,9,1.04,0.05,0.736,0.844
"876","P11388",14.17,13,22,1.413,0.94,0.665,0.543,0.722,0.786,1.254,1.034,1.521,9,0.99,0.12,0.986,0.993
"877","P11413",19.42,10,10,1.244,0.888,0.503,0.801,0.552,1.093,1.742,0.932,1.285,9,1,0.13,0.727,0.838
"878","P11441",29.3,5,5,0.912,0.852,1.001,1.299,1.223,0.939,1.133,1.005,1.182,9,1.06,0.05,0.162,0.324
"879","P11498",18,16,16,0.648,0.92,1.118,1.555,1.278,1.156,0.902,0.974,0.683,9,1.03,0.1,0.551,0.715
"880","P11586",35.72,31,31,0.923,0.505,0.602,0.994,0.764,0.799,1.437,0.654,1.146,9,0.87,0.1,0.224,0.399
"881","P11717",17.66,37,38,1.04,1.28,1.498,1.283,1.498,1.148,0.962,1.225,1.005,9,1.22,0.07,0.018,0.087
"882","P11766",22.46,10,10,1.1,0.907,0.995,1.149,1.241,1.017,1.257,1.162,1.411,9,1.14,0.05,0.012,0.067
"883","P11802",7.59,1,2,0.854,0.436,0.444,0.597,0.835,0.58,1.134,0.808,1.586,9,0.81,0.12,0.273,0.452
"884","P11940",33.65,12,20,0.917,0.742,0.756,1.029,0.96,0.945,1.238,0.891,1.155,9,0.96,0.05,0.572,0.732
"885","P12004",42.15,10,10,1.467,0.898,0.919,0.965,1.034,1.072,1.539,1.065,1.318,9,1.14,0.08,0.084,0.218
"886","P12081",29.86,10,16,0.982,0.853,1.054,1.324,1.344,0.973,1.154,1.016,1.199,9,1.1,0.06,0.064,0.186
"887","P12107",2.38,2,4,3.21,3.542,4.442,0.986,3.243,0.777,0.704,2.542,2.313,9,2.42,0.45,0.004,0.034
"888","P12109",14.4,11,11,1.167,1.38,0.819,0.785,0.84,1.356,1.283,1.416,1.186,9,1.14,0.09,0.294,0.475
"889","P12110",10.01,9,9,1.865,2.997,0.842,0.621,0.89,1.309,0.892,3.136,1.959,9,1.61,0.31,0.102,0.243
"890","P12111",2.36,7,7,1.6,0.943,1.19,1.021,1.208,0.8,1.673,0.753,1.765,9,1.22,0.13,0.048,0.155
"891","P12235",28.86,2,9,0.679,0.957,1.17,1.06,0.813,0.857,0.607,0.654,0.466,9,0.81,0.08,0.02,0.091
"892","P12236",37.25,2,12,0.66,0.869,0.844,0.889,0.905,0.905,0.686,0.917,0.698,9,0.82,0.04,0.001,0.014
"893","P12259",3.6,8,8,1.458,2.055,2.415,1.178,1.277,1.065,0.702,1.176,0.735,9,1.34,0.19,0.245,0.421
"894","P12268",20.04,11,12,0.821,0.699,0.932,1.06,1.111,0.843,0.963,0.783,0.9,9,0.9,0.04,0.069,0.195
"895","P12270",35,78,79,1.138,1.262,1.047,0.903,0.85,1.052,0.962,0.968,0.866,9,1.01,0.04,0.677,0.808
"896","P12277",33.07,9,10,0.69,1.053,4.613,5.006,6.876,1.104,0.771,1.468,1.133,9,2.52,0.77,0.087,0.223
"897","P12429",41.18,12,13,0.433,0.488,0.619,0.596,0.594,0.466,0.467,0.481,0.46,9,0.51,0.02,0,0
"898","P12532",8.87,2,3,0.498,0.744,1.257,0.551,1.177,0.322,0.215,0.685,0.46,9,0.66,0.12,0.021,0.094
"899","P12694",26.29,9,9,0.74,1.165,1.269,1.407,1.183,1.214,0.922,1.02,0.735,9,1.07,0.08,0.978,0.989
"900","P12757",1.61,1,1,0.337,0.937,2.322,1.549,3.626,0.617,0.222,1.438,0.519,9,1.29,0.37,0.74,0.847
"901","P12814",45.96,20,39,0.798,0.766,0.832,0.831,0.862,0.796,0.793,0.841,0.774,9,0.81,0.01,0,0
"902","P12829",57.87,10,12,0.331,0.883,4.24,4.094,7.336,0.82,0.344,1.322,0.549,9,2.21,0.82,0.638,0.783
"903","P12883",40.88,20,81,0.4,1.017,3.02,1.983,6.181,0.68,0.234,2.022,0.855,9,1.82,0.62,0.593,0.748
"904","P12931",10.45,3,5,1.528,0.955,0.84,0.74,0.647,0.881,1.13,0.723,1.161,9,0.96,0.09,0.601,0.754
"905","P12955",12.37,7,7,1.01,0.988,1.013,1.113,1.228,0.997,1.073,1.156,1.086,9,1.07,0.03,0.012,0.066
"906","P12956",49.92,29,29,0.857,0.764,0.775,0.908,0.846,0.896,0.995,0.84,0.939,9,0.87,0.02,0.002,0.023
"907","P13010",40.3,28,29,0.908,0.777,0.748,0.852,0.803,0.809,0.967,0.794,0.907,9,0.84,0.02,0.001,0.013
"908","P13073",34.91,6,6,0.99,1.075,1.348,1.318,1.305,1.01,0.827,0.979,0.816,9,1.07,0.07,0.59,0.746
"909","P13164",13.6,2,2,1.234,0.785,2.54,5.198,1.503,1.555,2.539,0.457,0.762,9,1.84,0.49,0.285,0.465
"910","P13196",1.56,1,1,1.247,1.411,1.191,1.402,1.42,1.642,1.45,1.655,1.468,9,1.43,0.05,0,0.001
"911","P13473",4.88,2,2,1,1.455,1.345,0.915,0.983,0.992,0.65,0.967,0.69,9,1,0.09,0.514,0.685
"912","P13489",15.4,7,7,1.06,0.775,0.709,0.627,0.851,0.757,0.857,0.931,1.079,9,0.85,0.05,0.06,0.18
"913","P13533",27.95,2,59,0.4,0.836,1.792,2.107,3.096,0.757,0.362,1.602,0.681,9,1.29,0.31,0.957,0.977
"914","P13535",48.37,36,102,0.355,0.476,2.234,3.161,3.871,0.599,0.504,0.697,0.522,9,1.38,0.45,0.799,0.885
"915","P13591",14.69,11,11,0.561,0.756,2.397,2.401,3.037,0.882,0.607,1.144,0.756,9,1.39,0.32,0.575,0.735
"916","P13612",4.75,5,5,0.828,1.25,1.43,1.449,1.797,1.365,0.901,1.486,0.979,9,1.28,0.11,0.081,0.213
"917","P13639",37.65,31,32,1.02,0.712,0.759,0.91,0.993,0.84,1.167,0.935,1.28,9,0.96,0.06,0.82,0.899
"918","P13645",32.19,15,19,1.715,1.719,1.963,1.259,1.19,1.121,1.099,1.061,1.064,9,1.35,0.12,0.011,0.063
"919","P13647",25.93,9,18,1.88,2.42,1.861,0.835,1.064,1.096,0.919,1.19,1.005,9,1.36,0.18,0.097,0.236
"920","P13667",57.36,44,44,0.945,1.219,1.19,0.966,1.042,0.979,0.762,1.038,0.816,9,1,0.05,0.6,0.753
"921","P13674",33.52,16,16,1.508,2.124,1.464,0.692,0.959,1.035,0.709,1.358,1.024,9,1.21,0.15,0.335,0.517
"922","P13693",36.63,6,6,2.48,1.707,1.711,1.164,0.942,0.836,1.112,1.093,1.21,9,1.36,0.17,0.021,0.093
"923","P13716",9.09,2,2,1.052,0.645,0,0,0,0.574,0.936,0.632,1.035,6,0.81,0.09,0.207,0.38
"924","P13796",11.8,3,6,0.74,0.867,0.581,0.426,0.631,0.629,0.536,0.926,0.793,9,0.68,0.05,0.002,0.024
"925","P13797",40.95,17,22,1.288,0.747,0.795,0.922,0.707,0.82,1.49,0.623,1.089,9,0.94,0.1,0.507,0.679
"926","P13798",15.98,12,12,0.942,0.761,0.872,1.098,1.059,0.917,1.195,0.945,1.161,9,0.99,0.05,0.87,0.93
"927","P13804",42.34,10,10,0.957,1.302,1.468,1.088,1.117,1.074,0.731,1.121,0.754,9,1.07,0.08,0.89,0.941
"928","P13805",26.26,5,8,0.475,0.932,2.633,2.22,4.771,0.766,0.332,1.785,0.882,9,1.64,0.47,0.505,0.678
"929","P13807",12.75,6,6,0.675,0.597,0.992,0.895,1.525,0.686,0.61,1.078,1.014,9,0.9,0.1,0.312,0.493
"930","P13861",37.87,14,14,0.814,0.779,1.039,1.219,1.299,0.908,0.93,0.974,0.939,9,0.99,0.06,0.77,0.867
"931","P13929",44.01,13,15,0.661,0.973,3.751,3.821,4.677,1.212,0.68,1.731,1.057,9,2.06,0.52,0.12,0.271
"932","P13984",23.29,7,7,1.071,1.141,1.1,1.171,1.188,1.174,1.163,1.117,1.026,9,1.13,0.02,0,0.01
"933","P13987",15.63,2,2,1.278,1.45,1.147,0.687,0.736,0.858,0.756,0.915,0.809,9,0.96,0.09,0.43,0.613
"934","P13995",6.57,2,2,1.181,1.318,1.549,0.966,1.179,0.567,0.715,0.928,0.872,9,1.03,0.1,0.621,0.77
"935","P14174",7.83,1,1,0.921,0.808,0.987,0.883,0.951,0.702,0.82,0.94,1.075,9,0.9,0.04,0.071,0.199
"936","P14314",28.79,15,16,1.227,1.691,1.429,1.014,1.013,1.261,0.838,1.276,0.844,9,1.18,0.09,0.266,0.444
"937","P14317",10.91,3,3,1.1,0.868,0.727,0.644,1.075,0.76,0.962,1.598,1.329,9,1.01,0.1,0.79,0.879
"938","P14324",21.72,9,9,1.166,0.776,0.741,0.896,1.225,0.801,1.227,1.018,1.429,9,1.03,0.08,0.432,0.615
"939","P14373",7.21,3,3,0,0,0,0,0,0,1.002,0,0,1,0,0,0,0
"940","P14406",34.94,3,3,1.03,1.157,1.451,1.219,1.222,0.937,0.811,0.858,0.768,9,1.05,0.08,0.86,0.924
"941","P14543",11.07,11,11,1.068,1.712,1.923,1.869,1.92,2.039,1.479,1.781,1.122,9,1.66,0.12,0.001,0.017
"942","P14550",32.92,9,10,0.952,0.617,0.868,1.243,1.405,0.846,1.389,0.902,1.517,9,1.08,0.1,0.355,0.538
"943","P14618",58,29,29,0.985,0.667,0.641,0.772,0.82,0.82,1.2,0.847,1.194,9,0.88,0.07,0.221,0.397
"944","P14625",40.35,36,38,1.115,1.109,1.026,0.855,0.836,0.922,0.914,0.928,0.926,9,0.96,0.03,0.25,0.426
"945","P14649",55.29,9,12,0.296,0.764,2.802,3.624,3.645,0.883,0.364,0.937,0.376,9,1.52,0.47,0.822,0.901
"946","P14678",27.08,7,7,0.867,1.277,1.194,1.243,1.16,1.342,0.982,1.148,0.791,9,1.11,0.06,0.548,0.713
"947","P14735",14.13,15,15,1.032,0.808,0.911,1.036,1.029,0.844,1.045,0.968,1.273,9,0.99,0.05,0.57,0.731
"948","P14854",37.21,3,3,0.911,1.343,1.888,1.695,1.464,1.198,0.82,1.064,0.747,9,1.24,0.13,0.322,0.504
"949","P14859",2.42,1,1,0,0.98,0.763,0.655,0.43,0.832,0,0.544,0,6,0.7,0.08,0.037,0.133
"950","P14866",42.78,15,16,0.869,1.019,1.009,1.212,1.079,1.147,0.984,0.975,0.859,9,1.02,0.04,0.672,0.805
"951","P14868",41.72,21,21,0.964,0.811,0.748,0.782,0.834,0.86,1.101,0.863,0.948,9,0.88,0.04,0.018,0.086
"952","P14923",15.57,9,11,0.703,1.682,0.631,0.42,0.461,1.209,0.52,1.11,0.512,9,0.81,0.14,0.025,0.104
"953","P14927",50.45,7,7,0.987,1.24,1.465,1.126,1.07,1.029,0.772,0.865,0.665,9,1.02,0.08,0.65,0.79
"954","P15090",6.82,1,1,1.49,1.123,1.364,0.978,0.891,0.796,1.055,0.721,0.961,9,1.04,0.08,0.606,0.757
"955","P15104",15.01,6,6,0.864,1.139,1.156,1.79,0.825,1.541,1.116,0.892,0.707,9,1.11,0.12,0.901,0.945
"956","P15121",24.37,8,9,0.896,1.016,0.999,0.916,1.11,0.927,0.908,1.024,0.987,9,0.98,0.02,0.408,0.589
"957","P15144",8.89,8,9,1.153,0.859,0.873,0.865,0.656,1.12,1.451,0.759,0.841,9,0.95,0.08,0.226,0.401
"958","P15151",2.88,1,1,1.181,1.204,1.812,1.509,0.869,0.991,0.971,0.568,0.559,9,1.07,0.14,0.727,0.838
"959","P15153",14.58,1,3,0.403,0.225,0.616,0.863,1.141,0.312,0.557,0.41,0.737,9,0.58,0.1,0.01,0.059
"960","P15170",18.24,8,8,0.98,0.961,0.809,0.896,0.798,0.969,1.131,0.869,1.006,9,0.94,0.03,0.111,0.258
"961","P15173",4.02,1,1,0.961,2.134,2.1,1.293,1.365,1.298,0.584,1.364,0.616,9,1.3,0.18,0.574,0.735
"962","P15289",1.78,1,1,0.945,2.045,1.238,1.281,1.106,2.091,0.965,1.796,0.833,9,1.37,0.16,0.158,0.319
"963","P15311",37.37,15,28,0.598,0.871,0.687,0.678,0.697,0.838,0.614,0.783,0.573,9,0.7,0.04,0,0.002
"964","P15336",20.99,6,6,0.993,0.872,1.172,0.912,1.048,0.671,0.763,0.767,0.876,9,0.9,0.05,0.097,0.236
"965","P15374",24.78,6,6,0.933,0.693,0.901,0.961,0.99,0.725,0.866,0.72,1.081,9,0.87,0.05,0.085,0.218
"966","P15498",1.3,1,1,0.929,0.91,1.157,1.113,1.04,0.866,0.882,0.804,0.824,9,0.95,0.04,0.187,0.355
"967","P15529",2.04,1,1,1.138,0,1.085,0.55,0.654,0,0.569,0,0.677,6,0.78,0.11,0.037,0.131
"968","P15531",57.89,4,9,0.975,0.968,1.394,1.171,1.351,0.739,0.759,1.04,1.026,9,1.05,0.08,0.359,0.542
"969","P15559",10.95,3,3,1.188,1.191,0.245,0.252,0.476,1.21,1.206,2.275,2.278,9,1.15,0.25,0.834,0.908
"970","P15586",16.49,8,8,1.191,1.453,1.03,0.798,0.873,1.112,0.915,1.176,1.001,9,1.06,0.07,0.627,0.773
"971","P15848",5.25,3,3,1.105,1.655,1.779,2.42,1.359,2.284,1.322,1.223,0.82,9,1.55,0.18,0.043,0.145
"972","P15880",29.69,9,9,0.938,0.661,0.714,0.985,0.905,0.869,1.268,0.776,1.143,9,0.92,0.07,0.321,0.503
"973","P15882",5.01,2,2,1.129,0.921,1.108,1.344,1.546,1.103,1.352,1.263,1.554,9,1.26,0.07,0.003,0.027
"974","P15884",13.34,5,6,1.051,1,0,0,0,1.241,1.303,0.542,0.572,6,0.95,0.13,0.199,0.372
"975","P15923",9.33,4,5,1.757,1.93,1.45,1.29,1.071,1.546,1.405,1.213,1.108,9,1.42,0.1,0.003,0.028
"976","P15924",5.61,15,15,0.715,1.344,0.793,0.737,0.757,1.207,0.717,1.179,0.794,9,0.92,0.08,0.074,0.203
"977","P15927",4.44,1,1,1.854,0.865,0.984,0.908,0.928,0.998,1.435,1.277,2.031,9,1.25,0.14,0.064,0.185
"978","P15954",38.1,2,3,0.886,1.213,1.297,1.261,1.089,1.118,0.804,0.97,0.694,9,1.04,0.07,0.724,0.838
"979","P16070",10.11,7,7,1.623,2.072,0.715,0.429,0.373,1.288,0.941,0.937,0.741,9,1.01,0.19,0.361,0.543
"980","P16104",38.46,3,7,1.191,1.352,1.364,1.116,0.808,1.119,0.98,0.958,0.715,9,1.07,0.07,0.97,0.985
"981","P16152",41.88,6,8,0.993,0.725,1.133,1.673,1.69,1.355,1.518,1.409,1.532,9,1.34,0.11,0.021,0.094
"982","P16220",8.8,3,3,1.078,1.446,1.353,1.209,1.089,1.276,0.951,1.144,0.856,9,1.16,0.06,0.154,0.314
"983","P16278",15.21,8,8,0.909,1.488,0.663,0.631,0.459,1.201,0.791,1.065,0.653,9,0.87,0.11,0.054,0.169
"984","P16298",10.31,2,4,0.727,0.712,1.842,2.435,2.992,0.93,0.948,1.249,1.165,9,1.44,0.27,0.154,0.313
"985","P16333",18.3,6,7,0.71,1.019,0.796,1.326,0.901,1.054,0.849,1.342,0.869,9,0.99,0.07,0.483,0.659
"986","P16402",47.51,5,19,1.191,1.351,1.384,1.378,0.851,1.328,1.149,0.769,0.656,9,1.12,0.09,0.953,0.975
"987","P16403",46.48,5,19,1.056,1.357,1.584,1.565,1.25,1.262,0.968,1.068,0.835,9,1.22,0.09,0.127,0.279
"988","P16435",11.67,7,7,0.907,0.88,1.029,1.147,0.993,0.995,0.973,0.782,0.873,9,0.95,0.04,0.122,0.273
"989","P16615",24.09,15,25,0.642,0.757,0.871,1.041,0.957,0.878,0.717,0.869,0.696,9,0.83,0.04,0.003,0.03
"990","P16930",25.3,9,9,0.721,0.807,0.659,0.898,0.823,1.066,1.009,0.986,0.912,9,0.88,0.05,0.011,0.061
"991","P16949",58.39,12,13,1.559,1.241,1.224,1.277,1.338,1.223,1.504,1.326,1.654,9,1.37,0.05,0,0.002
"992","P16989",27.69,4,8,0.759,0.758,1.043,1.288,1.383,0.967,0.966,1.149,1.058,9,1.04,0.07,0.668,0.803
"993","P17028",2.17,1,1,1.352,0.94,0.927,0.529,0.953,0.53,0.762,0.95,1.37,9,0.92,0.1,0.806,0.889
"994","P17029",4.97,3,3,0,0,0,0.733,0,0.528,0,0,0,2,0,0,0,0
"995","P17036",1.57,1,1,0,0,0,0.844,0.738,0.479,0.535,0.417,0.468,6,0.58,0.07,0.004,0.032
"996","P17050",9.73,4,4,0.818,1.478,1.046,0.946,0.865,1.224,0.823,1.156,0.752,9,1.01,0.08,0.441,0.624
"997","P17096",38.32,5,5,0.971,1.208,1.09,1.01,0.949,1.116,0.852,1.002,0.851,9,1.01,0.04,0.498,0.672
"998","P17152",4.17,1,1,0.821,0.814,0.918,1.062,1.067,0.931,0.938,0.931,0.942,9,0.94,0.03,0.071,0.198
"999","P17174",31.96,13,13,0.62,0.801,1.14,1.298,1.456,0.98,0.803,0.964,0.789,9,0.98,0.09,0.485,0.661
"1000","P17252",3.27,2,3,1.039,0.815,0.873,0.67,0.865,0.618,0.787,0.794,1.015,9,0.83,0.05,0.018,0.084
"1001","P17301",6.6,6,6,0.373,2.352,0.551,0.228,0.329,1.068,0.146,1.011,0.225,9,0.7,0.24,0.017,0.082
"1002","P17405",3.34,2,2,0.701,0.95,0.863,1.02,1.583,1.11,0.819,1.713,1.269,9,1.11,0.12,0.451,0.632
"1003","P17480",21.34,16,16,1.277,1.711,1.358,1.161,0.948,1.408,1.052,1.165,0.862,9,1.22,0.09,0.122,0.273
"1004","P17482",22,4,4,1.806,2.427,0.957,0.849,1.199,1.502,1.756,1.537,1.154,9,1.47,0.16,0.029,0.114
"1005","P17568",7.3,1,1,1.149,1.574,2.178,1.534,1.509,1.048,0.88,0.977,0.93,9,1.31,0.14,0.074,0.203
"1006","P17612",25.36,4,9,1.099,1.077,1.246,1.235,1.216,1.021,1.026,0.992,0.917,9,1.09,0.04,0.088,0.224
"1007","P17655",19,12,12,0.91,0.847,0.667,0.653,0.72,0.816,1.023,0.963,1.165,9,0.86,0.06,0.116,0.266
"1008","P17661",70.85,32,38,0.455,0.757,3.746,4.732,4.911,1.069,0.635,0.97,0.576,9,1.98,0.63,0.539,0.707
"1009","P17676",8.41,3,3,1.224,1.253,2.134,2.341,0,1.359,1.326,0,0,6,1.61,0.2,0.03,0.115
"1010","P17677",48.74,7,7,4.704,0,1.246,0.299,3.032,0,1.493,0,11.91,6,3.78,1.74,0.1,0.241
"1011","P17706",3.86,2,2,0,0,0,0.902,0,0.597,0,0,0,2,0,0,0,0
"1012","P17812",18.44,10,11,1.056,0.507,0.446,0.624,0.584,0.781,1.25,0.692,1.199,9,0.79,0.1,0.1,0.241
"1013","P17844",38.76,19,26,1.068,1.079,0.782,0.651,0.748,0.995,0.87,1.048,0.968,9,0.91,0.05,0.109,0.254
"1014","P17858",6.15,3,5,0.953,0.841,0.695,0.759,0.847,0.908,1.027,1.008,1.146,9,0.91,0.05,0.195,0.366
"1015","P17900",5.18,1,1,0.79,1.36,0.761,0.526,0.514,0.929,0.539,0.903,0.526,9,0.76,0.09,0.009,0.054
"1016","P17931",19.6,5,5,0.828,1.04,0.713,0.706,0.576,1.024,0.809,0.824,0.666,9,0.8,0.05,0.001,0.015
"1017","P17936",17.53,4,4,1.891,1.96,2.385,2.379,1.17,1.932,1.862,0.945,0.915,9,1.72,0.19,0.018,0.085
"1018","P17980",49.89,20,20,1.09,0.95,0.943,0.949,1.029,0.939,1.096,0.971,1.202,9,1.02,0.03,0.251,0.427
"1019","P17987",33.63,18,18,1.018,0.685,0.668,0.759,0.728,0.821,1.116,0.753,1.096,9,0.85,0.06,0.072,0.2
"1020","P18031",26.44,10,10,0.9,1.214,0.821,0.946,1.044,1.068,1.396,1.146,1.271,9,1.09,0.06,0.167,0.331
"1021","P18065",6.77,2,2,1.761,3.098,1.743,1.138,1.011,2,1.135,1.767,1.008,9,1.63,0.22,0.028,0.111
"1022","P18074",4.08,3,3,0.855,0.943,1.121,0.694,0.794,0.687,0.599,0.901,0.82,9,0.82,0.05,0.016,0.079
"1023","P18077",38.18,5,5,0.993,0.869,0.79,0.912,0.926,0.946,1.012,0.973,1.076,9,0.94,0.03,0.195,0.366
"1024","P18084",2.25,2,2,1.149,1.519,0.74,0.749,0.631,1.519,0.808,1.273,0.744,9,1.01,0.12,0.3,0.481
"1025","P18085",27.78,5,5,1.258,1.401,0.854,0.588,0.758,0.787,0.795,1.163,1.192,9,0.98,0.09,0.86,0.924
"1026","P18124",36.69,12,12,0.853,0.705,0.888,1.098,1.153,0.914,1.108,0.883,1.054,9,0.96,0.05,0.538,0.706
"1027","P18206",54.41,60,60,1.212,0.867,0.923,0.939,0.983,0.856,1.201,0.888,1.241,9,1.01,0.05,0.459,0.638
"1028","P18583",11.58,20,21,1.098,1.293,1.207,1.122,1.03,1.152,0.931,1.074,0.915,9,1.09,0.04,0.172,0.338
"1029","P18615",23.16,7,7,0.938,0.963,1.331,1.358,1.341,1.198,1.011,1.221,0.983,9,1.15,0.06,0.072,0.2
"1030","P18621",40.76,7,8,0.935,0.817,0.872,1.031,0.898,0.999,1.205,0.771,1.059,9,0.95,0.04,0.319,0.501
"1031","P18669",44.49,10,10,0.985,0.883,0.809,0.993,0.979,0.924,0.995,0.991,1.097,9,0.96,0.03,0.441,0.624
"1032","P18754",29.93,9,9,0.857,1.204,0.742,0.56,0.504,0.792,0.696,0.823,0.579,9,0.75,0.07,0.005,0.038
"1033","P18850",4.93,3,3,0.846,0.91,0.968,1.248,1.752,1.242,0.565,1.735,0.782,9,1.12,0.14,0.981,0.991
"1034","P18858",10.99,8,8,0.974,0.815,0.647,0.584,0.704,0.727,0.703,0.871,0.819,9,0.76,0.04,0.001,0.017
"1035","P18859",37.96,5,5,1.158,2.04,1.775,1.166,0.976,1.105,0.638,0.98,0.619,9,1.16,0.16,0.893,0.942
"1036","P18887",8.85,5,5,1.784,1.191,1.258,1.224,1.03,0.957,1.411,0.78,1.171,9,1.2,0.1,0.043,0.147
"1037","P19021",2.36,2,2,1.15,1.16,0.571,0.407,0.407,0.85,0.843,0.854,0.85,9,0.79,0.09,0.055,0.17
"1038","P19105",33.92,3,7,1.057,1.052,1.158,0.995,1.307,0.8,0.79,1.113,1.195,9,1.05,0.06,0.136,0.291
"1039","P19174",5.81,8,8,1.639,0.79,0.803,0.799,0.976,0.593,1.362,1.027,1.48,9,1.05,0.12,0.346,0.528
"1040","P19237",28.34,7,7,0.373,0.839,4.596,4.337,9.418,0.768,0.385,1.544,0.777,9,2.56,1.02,0.393,0.574
"1041","P19338",43.66,43,43,0.918,1.082,1.132,1.023,1.036,0.975,0.848,0.945,0.814,9,0.97,0.04,0.276,0.454
"1042","P19367",29.66,25,26,0.792,0.952,0.834,1.054,0.772,1.174,0.924,0.862,0.707,9,0.9,0.05,0.004,0.034
"1043","P19387",10.55,2,2,0.927,0.73,1.223,1.44,1.171,0.972,1.449,0.786,1.178,9,1.1,0.09,0.325,0.506
"1044","P19388",32.38,6,6,1.049,1.278,1.269,1.33,1.291,1.162,1.104,1.078,0.988,9,1.17,0.04,0.009,0.055
"1045","P19404",28.51,7,7,1.186,1.966,1.572,1.081,0.896,1.274,0.831,1.181,0.802,9,1.2,0.13,0.378,0.559
"1046","P19474",8.63,3,3,0.707,0.665,0.83,1.209,1.216,0.907,0.956,0.958,1.023,9,0.94,0.06,0.37,0.553
"1047","P19525",6.72,3,3,1.328,0.956,1.071,1.214,1.179,1.07,1.486,1.034,1.443,9,1.2,0.06,0.005,0.039
"1048","P19532",4.17,2,2,0,0.685,0.809,1.051,2.275,0.616,0,0,0,5,1.09,0.31,0.812,0.892
"1049","P19623",10.6,4,4,0.954,0.561,0.657,1.104,1.115,0.644,0.979,0.713,1.156,9,0.88,0.08,0.287,0.468
"1050","P19784",16,4,5,0.909,0.992,0.878,1.204,1.007,1.259,0.947,1.004,0.89,9,1.01,0.05,0.35,0.532
"1051","P19823",2.64,3,3,0.964,0.965,1.12,1.058,1.067,0.9,0.777,0.903,0.783,9,0.95,0.04,0.164,0.326
"1052","P19838",3.93,3,4,0,0,0,0,0,0,0,1.235,0.991,2,0,0,0.442,0.625
"1053","P20020",21.07,15,22,0.815,0.937,0.968,0.925,1.064,1.08,0.849,0.93,0.775,9,0.93,0.03,0.011,0.061
"1054","P20042",30.03,10,10,0.826,0.813,1.023,1.097,1.068,0.89,0.959,0.866,1.032,9,0.95,0.04,0.332,0.514
"1055","P20073",19.06,8,8,1.063,0.654,0.803,0.684,0.928,0.756,0.904,0.82,0.99,9,0.84,0.05,0.029,0.114
"1056","P20290",41.26,6,6,1.181,0.838,1.078,1.355,1.321,0.964,1.338,0.924,1.298,9,1.14,0.07,0.033,0.123
"1057","P20338",27.52,4,6,0.917,0.956,0.861,0.989,1.311,1.108,0.901,1.355,1.107,9,1.06,0.06,0.476,0.653
"1058","P20339",23.26,3,4,0.866,0.852,0.831,0.935,0.954,0.994,1.068,1.034,1.089,9,0.96,0.03,0.305,0.486
"1059","P20340",27.88,4,5,0.854,0.961,1.08,1.009,1.098,0.887,0.835,0.961,0.857,9,0.95,0.03,0.138,0.293
"1060","P20585",0.79,1,1,0.849,0.943,1.118,1.171,0.857,0.976,0.878,0.711,0.643,9,0.91,0.06,0.056,0.172
"1061","P20618",30.29,7,7,0.871,0.992,1.132,1.425,1.337,1.12,1.009,1.087,0.946,9,1.1,0.06,0.238,0.413
"1062","P20645",26.71,7,7,0.875,1.053,1.094,0.994,0.919,0.997,0.864,0.926,0.842,9,0.95,0.03,0.059,0.178
"1063","P20648",4.06,1,4,0.674,0,0,0,0,0,0,0,0.709,2,0,0,0.011,0.064
