"Accession_ID","Protein_Coverage","Number_of_Unique_Peptides","Number_of_Peptides","M197vsM398","M197vsM180","M197vsM194","M202vsM194","M418vsM194","M202vsM180","M202vsM398","M418vsM180","M418vsM398","Number_of_ratios","Ratio_mean","Ratio_SEM","pvalue","FDR"
"170","O15049",4.96,2,2,0.962,0.777,0.935,1.306,1.032,1.073,1.327,0.843,1.048,9,1.03,0.06,0.801,0.885
"171","O15056",2.74,2,2,0.903,1.1,0.823,0.408,1.05,0.539,0.442,0.949,0.782,9,0.78,0.09,0.06,0.178
"172","O15061",7.41,8,9,0,0,0,1.611,0.97,0.859,1.154,0.686,0,5,1.06,0.16,0.775,0.87
"173","O15067",12.41,16,16,0.94,0.654,0.75,1.025,0.821,0.851,1.226,0.723,1.132,9,0.9,0.06,0.249,0.425
"174","O15075",16.22,9,9,1.169,1.224,3.609,4.045,4.563,1.394,1.432,1.601,1.532,9,2.29,0.46,0.005,0.039
"175","O15078",1.41,2,5,1.809,3.275,1.027,0.432,0.485,1.362,0.751,1.519,0.842,9,1.28,0.29,0.972,0.986
"176","O15085",4.07,4,4,1.142,0.846,0.728,0.814,0.916,0.934,1.259,1.047,1.417,9,1.01,0.08,0.687,0.814
"177","O15118",2.27,3,3,0.95,1.174,1.079,1.116,0.751,1.2,0.926,1.007,0.615,9,0.98,0.07,0.209,0.382
"178","O15126",11.83,3,3,0.676,0.817,0.816,0.896,0.717,0.887,0.733,0.707,0.587,9,0.76,0.03,0,0.004
"179","O15143",16.94,5,5,0.938,0.747,0.543,0.627,0.601,0.901,1.065,0.781,1.119,9,0.81,0.07,0.05,0.161
"180","O15144",24.67,8,8,1.024,0.798,0.68,0.775,0.797,0.884,1.024,0.889,1.149,9,0.89,0.05,0.136,0.29
"181","O15145",25.28,5,5,1.07,0.846,0.724,0.793,0.693,0.964,1.19,0.871,1.099,9,0.92,0.06,0.212,0.386
"182","O15160",11.56,3,3,0.907,1.267,0.892,0.488,0.683,0.685,0.49,0.954,0.685,9,0.78,0.08,0.027,0.11
"183","O15162",2.2,1,1,1.101,0.631,0.769,1.659,0.891,1.346,2.344,0.719,1.258,9,1.19,0.18,0.589,0.745
"184","O15164",4.29,3,4,1.417,0.866,0.711,0.775,0.634,0.718,1.291,0.759,1.157,9,0.93,0.1,0.507,0.68
"185","O15173",26.01,6,6,0.699,1.128,0.992,0.935,0.894,0.999,0.752,0.902,0.73,9,0.89,0.05,0.02,0.09
"186","O15182",13.17,2,3,1.757,1.629,1.181,0.719,0.73,0.979,1.055,0.99,1.071,9,1.12,0.12,0.443,0.626
"187","O15212",29.46,6,6,1.141,1.043,1.129,1.091,1.235,0.98,1.099,1.143,1.214,9,1.12,0.03,0,0.004
"188","O15213",10.49,4,4,0.662,0.658,0.677,0.83,0.78,0.758,1.107,0.746,0.753,9,0.77,0.05,0.001,0.017
"189","O15226",11.45,7,8,0.499,0.493,0.725,1.022,0.858,0.738,0.828,0.662,0.969,9,0.75,0.06,0.017,0.082
"190","O15228",3.97,2,2,1.302,1.395,1.085,0.801,0.985,1.017,0.949,1.244,1.166,9,1.1,0.06,0.124,0.276
"191","O15230",9.07,27,27,1.11,1.89,1.366,1.263,1.032,1.891,1.056,1.412,0.826,9,1.32,0.12,0.113,0.26
"192","O15231",22.21,10,10,0.849,0.993,0.917,1.067,0.799,1.17,1.056,0.992,0.827,9,0.96,0.04,0.063,0.185
"193","O15240",3.09,2,2,0.713,0,1.019,0,0,0,0,0,0,2,0,0,0,0
"194","O15254",7.86,5,5,1.02,0.905,0.718,0.858,1.034,1.14,1.228,1.287,1.554,9,1.08,0.08,0.345,0.527
"195","O15258",18.37,3,3,1.129,1.178,1.095,0.857,0.917,0.911,0.872,0.97,0.933,9,0.98,0.04,0.696,0.819
"196","O15260",6.69,2,2,0.684,0.811,0.756,0.99,0.828,0.841,0.709,0.873,0.74,9,0.8,0.03,0,0.008
"197","O15269",6.34,3,3,0.983,1.145,0.816,0.859,0.698,1.192,1.023,0.963,0.83,9,0.95,0.05,0.068,0.194
